resume_text,correct_jd_id
"Experienced Full-Stack Developer with 3+ years in React, Node.js, REST APIs, and SQL; deployed apps on AWS; strong Git/CI/CD.",7
"BizTalk developer with experience in orchestrations, maps, pipelines, adapters, and administering BizTalk Server in enterprise env.",8
"Led software teams as an Engineering Manager; sprint planning, code reviews, hiring, delivery ownership, stakeholder comms.",11
"US IT Recruiter with hands-on sourcing on LinkedIn/JobDiva, screening, coordinating interviews, salary negotiation, onboarding.",1
"Professor (Mechanical Engineering): taught Thermodynamics, Strength of Materials; supervised labs and final year projects.",4
"Head of Finance with expertise in FP&A, budgeting, MIS, audits, compliance, treasury, and stakeholder reporting.",12
"Head of Marketing; GTM strategy, brand campaigns, digital marketing, performance ads, and cross-functional leadership.",5
"Senior Business Development Executive; B2B pipeline generation, outbound prospecting, demos, proposals, closing & CRM hygiene.",6
"Technical support (voice) professional; Windows troubleshooting, incident logging, remote assistance; Dell process exposure.",13
"Back-office executive; data entry, email handling, night shifts, MS Excel/Word, SLA adherence and documentation.",10
